invoice_number,customer_id,employee_id,invoice_date,payment_terms,
10248,90,5,5/19/2022,3,
10249,81,6,5/20/2022,1,
10250,34,4,5/23/2022,2,
10251,84,3,5/23/2022,1,
10252,76,4,5/24/2022,2,
10253,34,3,5/25/2022,2,
10254,14,5,5/26/2022,2,
10255,68,9,5/27/2022,3,
10256,88,3,5/30/2022,2,
10257,35,4,5/31/2022,3,
10258,20,1,6/1/2022,1,
10259,13,4,6/2/2022,3,
10260,55,4,6/3/2022,1,
10261,61,4,6/3/2022,2,
10262,65,8,6/6/2022,3,
10263,20,9,6/7/2022,3,
10264,24,6,6/8/2022,3,
10265,7,2,6/9/2022,1,
10266,87,3,6/10/2022,3,
10267,25,4,6/13/2022,1,
10268,33,8,6/14/2022,3,
10269,89,5,6/15/2022,1,
10270,87,1,6/16/2022,1,
10271,75,6,6/16/2022,2,
10272,65,6,6/17/2022,2,
10273,63,3,6/20/2022,3,
10274,85,6,6/21/2022,1,
10275,49,1,6/22/2022,1,
10276,80,8,6/23/2022,3,
10277,52,2,6/24/2022,3,
10278,5,8,6/27/2022,2,
10279,44,8,6/28/2022,2,
10280,5,2,6/29/2022,1,
10281,69,4,6/29/2022,1,
10282,69,4,6/30/2022,1,
10283,46,3,7/1/2022,3,
10284,44,4,7/4/2022,1,
10285,63,1,7/5/2022,2,
10286,63,8,7/6/2022,3,
10287,67,8,7/7/2022,3,
10288,66,4,7/8/2022,1,
10289,11,7,7/11/2022,3,
10290,15,8,7/12/2022,1,
10291,61,6,7/12/2022,2,
10292,81,1,7/13/2022,2,
10293,80,1,7/14/2022,3,
10294,65,4,7/15/2022,2,
10295,85,2,7/18/2022,2,
10296,46,6,7/19/2022,1,
10297,7,5,7/20/2022,2,
10298,37,6,7/21/2022,2,
10299,67,4,7/22/2022,2,
10300,49,2,7/25/2022,2,
10301,86,8,7/25/2022,2,
10302,76,4,7/26/2022,2,
10303,30,7,7/27/2022,2,
10304,80,1,7/28/2022,2,
10305,55,8,7/29/2022,3,
10306,69,1,8/1/2022,3,
10307,48,2,8/2/2022,2,
10308,2,7,8/3/2022,3,
10309,37,3,8/4/2022,1,
10310,77,8,8/5/2022,2,
10311,18,1,8/5/2022,3,
10312,86,2,8/8/2022,2,
10313,63,2,8/9/2022,2,
10314,65,1,8/10/2022,2,
10315,38,4,8/11/2022,2,
10316,65,1,8/12/2022,3,
10317,48,6,8/15/2022,1,
10318,38,8,8/16/2022,2,
10319,80,7,8/17/2022,3,
10320,87,5,8/18/2022,3,
10321,38,3,8/18/2022,2,
10322,58,7,8/19/2022,3,
10323,39,4,8/22/2022,1,
10324,71,9,8/23/2022,1,
10325,39,1,8/24/2022,3,
10326,8,4,8/25/2022,2,
10327,24,2,8/26/2022,1,
10328,28,4,8/29/2022,3,
10329,75,4,8/30/2022,2,
10330,46,3,8/31/2022,1,
10331,9,9,8/31/2022,1,
10332,51,3,9/1/2022,2,
10333,87,5,9/2/2022,3,
10334,84,8,9/5/2022,2,
10335,37,7,9/6/2022,2,
10336,60,7,9/7/2022,2,
10337,25,4,9/8/2022,3,
10338,55,4,9/9/2022,3,
10339,51,2,9/12/2022,2,
10340,9,1,9/13/2022,3,
10341,73,7,9/13/2022,3,
10342,25,4,9/14/2022,2,
10343,44,4,9/15/2022,1,
10344,89,4,9/16/2022,2,
10345,63,2,9/19/2022,2,
10346,65,3,9/20/2022,3,
10347,21,4,9/21/2022,3,
10348,86,4,9/22/2022,2,
10349,75,7,9/23/2022,1,
10350,41,6,9/26/2022,2,
10351,20,1,9/26/2022,1,
10352,28,3,9/27/2022,3,
10353,59,7,9/28/2022,3,
10354,58,8,9/29/2022,3,
10355,4,6,9/30/2022,1,
10356,86,6,10/3/2022,2,
10357,46,1,10/4/2022,3,
10358,41,5,10/5/2022,1,
10359,72,5,10/6/2022,3,
10360,7,4,10/7/2022,3,
10361,63,1,10/7/2022,2,
10362,9,3,10/10/2022,1,
10363,17,4,10/11/2022,3,
10364,19,1,10/11/2022,1,
10365,3,3,10/12/2022,2,
10366,29,8,10/13/2022,2,
10367,83,7,10/13/2022,3,
10368,20,2,10/14/2022,2,
10369,75,8,10/17/2022,2,
10370,14,6,10/18/2022,2,
10371,41,1,10/18/2022,1,
10372,62,5,10/19/2022,2,
10373,37,4,10/20/2022,3,
10374,91,1,10/20/2022,3,
10375,36,3,10/21/2022,2,
10376,51,1,10/24/2022,2,
10377,72,1,10/24/2022,3,
